timestamp (seconds since 01/01/1970), system, entity , value (m/s)
1756381036.183229, lauv-fridtjof, 71, 1481.489990
1756381036.241550, lauv-fridtjof, 71, 1481.489990
1756381036.250446, lauv-fridtjof, 61, 1480.862793
1756381036.299944, lauv-fridtjof, 71, 1481.500000
1756381036.349966, lauv-fridtjof, 71, 1481.500000
1756381036.408172, lauv-fridtjof, 71, 1481.489990
1756381036.456581, lauv-fridtjof, 61, 1480.875610
1756381036.466587, lauv-fridtjof, 71, 1481.500000
1756381036.524933, lauv-fridtjof, 71, 1481.500000
1756381036.574972, lauv-fridtjof, 71, 1481.500000
1756381036.634030, lauv-fridtjof, 71, 1481.500000
1756381036.652997, lauv-fridtjof, 61, 1480.855713
1756381036.691631, lauv-fridtjof, 71, 1481.500000
1756381036.749921, lauv-fridtjof, 71, 1481.489990
1756381036.800008, lauv-fridtjof, 71, 1481.489990
1756381036.855471, lauv-fridtjof, 61, 1480.854126
1756381036.858441, lauv-fridtjof, 71, 1481.489990
1756381036.916647, lauv-fridtjof, 71, 1481.489990
1756381036.975018, lauv-fridtjof, 71, 1481.489990
1756381037.026143, lauv-fridtjof, 71, 1481.489990
1756381037.051834, lauv-fridtjof, 61, 1480.839233
1756381037.084875, lauv-fridtjof, 71, 1481.510010
1756381037.141555, lauv-fridtjof, 71, 1481.520020
1756381037.199999, lauv-fridtjof, 71, 1481.530029
1756381037.249908, lauv-fridtjof, 71, 1481.540039
1756381037.254029, lauv-fridtjof, 61, 1480.813965
1756381037.309484, lauv-fridtjof, 71, 1481.540039
1756381037.366557, lauv-fridtjof, 71, 1481.540039
1756381037.424975, lauv-fridtjof, 71, 1481.550049
1756381037.451993, lauv-fridtjof, 61, 1480.808350
1756381037.475008, lauv-fridtjof, 71, 1481.550049
1756381037.533326, lauv-fridtjof, 71, 1481.550049
1756381037.591621, lauv-fridtjof, 71, 1481.550049
1756381037.649904, lauv-fridtjof, 71, 1481.569946
1756381037.651493, lauv-fridtjof, 61, 1480.796021
1756381037.700022, lauv-fridtjof, 71, 1481.599976
1756381037.758283, lauv-fridtjof, 71, 1481.660034
1756381037.816646, lauv-fridtjof, 71, 1481.689941
1756381037.854426, lauv-fridtjof, 61, 1480.791626
1756381037.875001, lauv-fridtjof, 71, 1481.719971
1756381037.924953, lauv-fridtjof, 71, 1481.729980
