timestamp (seconds since 01/01/1970), system, entity , value (m)
1756381037.699784, lauv-fridtjof, 71, 0.218866
1756381037.758083, lauv-fridtjof, 71, 0.218866
1756381037.816440, lauv-fridtjof, 71, 0.218866
1756381037.874794, lauv-fridtjof, 71, 0.218866
1756381037.924749, lauv-fridtjof, 71, 0.218866
1756381037.983040, lauv-fridtjof, 71, 0.208917
1756381038.041411, lauv-fridtjof, 71, 0.198969
1756381038.099777, lauv-fridtjof, 71, 0.208917
1756381038.149751, lauv-fridtjof, 71, 0.208917
1756381038.208073, lauv-fridtjof, 71, 0.218866
1756381038.266401, lauv-fridtjof, 71, 0.218866
1756381038.324784, lauv-fridtjof, 71, 0.228814
1756381038.374772, lauv-fridtjof, 71, 0.238763
1756381038.433094, lauv-fridtjof, 71, 0.238763
1756381038.491386, lauv-fridtjof, 71, 0.248711
1756381038.549713, lauv-fridtjof, 71, 0.248711
1756381038.600438, lauv-fridtjof, 71, 0.258660
1756381038.658019, lauv-fridtjof, 71, 0.258660
1756381038.716803, lauv-fridtjof, 71, 0.268608
1756381038.774781, lauv-fridtjof, 71, 0.268608
1756381038.824747, lauv-fridtjof, 71, 0.268608
1756381038.883031, lauv-fridtjof, 71, 0.278557
1756381038.941408, lauv-fridtjof, 71, 0.288505
1756381038.999778, lauv-fridtjof, 71, 0.288505
1756381039.049721, lauv-fridtjof, 71, 0.298454
1756381039.108139, lauv-fridtjof, 71, 0.318350
1756381039.166448, lauv-fridtjof, 71, 0.328299
1756381039.224767, lauv-fridtjof, 71, 0.328299
1756381039.274776, lauv-fridtjof, 71, 0.338247
1756381039.334090, lauv-fridtjof, 71, 0.348196
1756381039.391484, lauv-fridtjof, 71, 0.358144
1756381039.449726, lauv-fridtjof, 71, 0.368093
1756381039.499797, lauv-fridtjof, 71, 0.378041
1756381039.558295, lauv-fridtjof, 71, 0.387990
1756381039.616475, lauv-fridtjof, 71, 0.397938
1756381039.674778, lauv-fridtjof, 71, 0.397938
1756381039.724800, lauv-fridtjof, 71, 0.417835
1756381039.783030, lauv-fridtjof, 71, 0.427783
1756381039.841391, lauv-fridtjof, 71, 0.447680
1756381039.899808, lauv-fridtjof, 71, 0.447680
1756381039.949720, lauv-fridtjof, 71, 0.457629
1756381040.008076, lauv-fridtjof, 71, 0.467577
1756381040.066402, lauv-fridtjof, 71, 0.487474
1756381040.124815, lauv-fridtjof, 71, 0.487474
1756381040.174776, lauv-fridtjof, 71, 0.507371
1756381040.233120, lauv-fridtjof, 71, 0.527268
1756381040.291406, lauv-fridtjof, 71, 0.537216
1756381040.349798, lauv-fridtjof, 71, 0.547165
1756381040.399831, lauv-fridtjof, 71, 0.557113
1756381040.458075, lauv-fridtjof, 71, 0.577010
1756381040.516445, lauv-fridtjof, 71, 0.577010
1756381040.574787, lauv-fridtjof, 71, 0.586959
1756381040.624753, lauv-fridtjof, 71, 0.596907
1756381040.683058, lauv-fridtjof, 71, 0.616804
1756381040.741405, lauv-fridtjof, 71, 0.616804
1756381040.799780, lauv-fridtjof, 71, 0.636701
1756381040.849774, lauv-fridtjof, 71, 0.656598
1756381040.908108, lauv-fridtjof, 71, 0.676495
1756381040.966399, lauv-fridtjof, 71, 0.686443
1756381041.024762, lauv-fridtjof, 71, 0.706340
1756381041.074788, lauv-fridtjof, 71, 0.716288
1756381041.133096, lauv-fridtjof, 71, 0.726237
1756381041.191462, lauv-fridtjof, 71, 0.746134
1756381041.249766, lauv-fridtjof, 71, 0.756082
1756381041.299813, lauv-fridtjof, 71, 0.766031
1756381041.358074, lauv-fridtjof, 71, 0.785928
1756381041.416405, lauv-fridtjof, 71, 0.805825
1756381041.474783, lauv-fridtjof, 71, 0.825721
1756381041.524763, lauv-fridtjof, 71, 0.835670
1756381041.583526, lauv-fridtjof, 71, 0.855567
1756381041.641418, lauv-fridtjof, 71, 0.875464
1756381041.699813, lauv-fridtjof, 71, 0.905309
1756381041.749752, lauv-fridtjof, 71, 0.915257
1756381041.808031, lauv-fridtjof, 71, 0.935154
1756381041.866416, lauv-fridtjof, 71, 0.955051
1756381041.924771, lauv-fridtjof, 71, 0.984897
1756381041.974780, lauv-fridtjof, 71, 1.004794
1756381042.033070, lauv-fridtjof, 71, 1.034639
1756381042.091406, lauv-fridtjof, 71, 1.054536
1756381042.149756, lauv-fridtjof, 71, 1.074433
1756381042.199819, lauv-fridtjof, 71, 1.104278
1756381042.258156, lauv-fridtjof, 71, 1.114226
1756381042.316409, lauv-fridtjof, 71, 1.144072
1756381042.375009, lauv-fridtjof, 71, 1.163969
1756381042.424781, lauv-fridtjof, 71, 1.183866
1756381042.483033, lauv-fridtjof, 71, 1.203763
1756381042.541409, lauv-fridtjof, 71, 1.223659
1756381042.599775, lauv-fridtjof, 71, 1.233608
1756381042.649786, lauv-fridtjof, 71, 1.273402
1756381042.708066, lauv-fridtjof, 71, 1.303247
1756381042.766460, lauv-fridtjof, 71, 1.313195
1756381042.824758, lauv-fridtjof, 71, 1.343041
1756381042.874793, lauv-fridtjof, 71, 1.352989
1756381042.933093, lauv-fridtjof, 71, 1.372886
1756381042.991478, lauv-fridtjof, 71, 1.392783
1756381043.049770, lauv-fridtjof, 71, 1.412680
1756381043.099816, lauv-fridtjof, 71, 1.432577
1756381043.158039, lauv-fridtjof, 71, 1.462422
1756381043.216467, lauv-fridtjof, 71, 1.482319
1756381043.274792, lauv-fridtjof, 71, 1.502216
1756381043.324840, lauv-fridtjof, 71, 1.522113
1756381043.383070, lauv-fridtjof, 71, 1.542010
1756381043.441412, lauv-fridtjof, 71, 1.561907
1756381043.499857, lauv-fridtjof, 71, 1.581804
1756381043.549744, lauv-fridtjof, 71, 1.601701
1756381043.608031, lauv-fridtjof, 71, 1.611649
1756381043.666430, lauv-fridtjof, 71, 1.631546
1756381043.724766, lauv-fridtjof, 71, 1.651443
1756381043.774833, lauv-fridtjof, 71, 1.681288
1756381043.833081, lauv-fridtjof, 71, 1.691237
1756381043.892007, lauv-fridtjof, 71, 1.711134
1756381043.949760, lauv-fridtjof, 71, 1.740979
1756381043.999779, lauv-fridtjof, 71, 1.760876
1756381044.060659, lauv-fridtjof, 71, 1.770824
1756381044.116454, lauv-fridtjof, 71, 1.780773
1756381044.174785, lauv-fridtjof, 71, 1.800670
1756381044.224766, lauv-fridtjof, 71, 1.820567
1756381044.283111, lauv-fridtjof, 71, 1.830515
1756381044.341405, lauv-fridtjof, 71, 1.850412
1756381044.399794, lauv-fridtjof, 71, 1.860360
1756381044.449770, lauv-fridtjof, 71, 1.880257
1756381044.508096, lauv-fridtjof, 71, 1.890206
1756381044.566451, lauv-fridtjof, 71, 1.900154
1756381044.624790, lauv-fridtjof, 71, 1.920051
1756381044.675126, lauv-fridtjof, 71, 1.939948
1756381044.733125, lauv-fridtjof, 71, 1.949896
1756381044.791458, lauv-fridtjof, 71, 1.949896
1756381044.849768, lauv-fridtjof, 71, 1.959845
1756381044.900824, lauv-fridtjof, 71, 1.979742
1756381044.958077, lauv-fridtjof, 71, 1.989690
1756381045.017285, lauv-fridtjof, 71, 1.989690
1756381045.074790, lauv-fridtjof, 71, 1.989690
1756381045.124906, lauv-fridtjof, 71, 2.019536
1756381045.183038, lauv-fridtjof, 71, 2.019536
1756381045.241442, lauv-fridtjof, 71, 2.029484
1756381045.299787, lauv-fridtjof, 71, 2.029484
