timestamp (seconds since 01/01/1970), system, entity , validity (bitfield), x (m/s), y (m/s), z (m/s)
1756381044.251346, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.60191727, -0.02457106, 0.03393029
1756381044.456312, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.61512363, -0.01695299, 0.02248108
1756381044.651136, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.61506855, -0.01079103, 0.01124263
1756381044.855283, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.61457253, 0.01349065, 0.00312907
1756381045.052999, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64835095, 0.01610515, -0.00668566
1756381045.256996, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.64439273, 0.01822791, -0.00984344
1756381045.452178, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66720545, 0.03149283, -0.01122539
1756381045.654977, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6724751, 0.00515208, -0.02138472
1756381045.850583, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67054272, 0.01916945, -0.03020763
1756381046.055268, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65013671, 0.00840104, -0.03541818
1756381046.254352, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66290069, 0.00934145, -0.04029527
1756381046.455771, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66396749, 0.00263038, -0.04529478
1756381046.651045, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6605711, -0.00589758, -0.05078625
1756381046.856105, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65836537, -0.01543459, -0.05441929
1756381047.054759, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65175092, -0.03093335, -0.05912538
1756381047.250702, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66349936, -0.02461591, -0.06829177
1756381047.453854, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6500932, -0.04110843, -0.0745505
1756381047.650532, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67039037, -0.04112321, -0.0751088
1756381047.854569, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65830016, -0.0466741, -0.08236846
1756381048.053677, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66439307, -0.05637547, -0.08126281
1756381048.251954, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66228819, -0.05836669, -0.0837169
1756381048.456533, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.65592468, -0.06575319, -0.07905384
1756381048.651920, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66767538, -0.05894846, -0.08599758
1756381048.857093, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6731813, -0.05931294, -0.0878654
1756381049.051875, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66846728, -0.06554854, -0.0831292
1756381049.253706, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66988933, -0.06609324, -0.07921174
1756381049.449670, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68599164, -0.07794178, -0.08124017
1756381049.655596, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67581367, -0.08030289, -0.08660573
1756381049.851341, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68787408, -0.06794235, -0.08839436
1756381050.055341, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66969657, -0.05961013, -0.08643064
1756381050.251321, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66981411, -0.06268522, -0.0837113
1756381050.456381, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67551947, -0.06691089, -0.07063618
1756381050.654557, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67270887, -0.06044781, -0.06292677
1756381050.852525, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68630457, -0.08121935, -0.0614357
1756381051.054072, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67901361, -0.07361352, -0.05850748
1756381051.250257, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.70263851, -0.0733414, -0.05827142
1756381051.453892, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68663609, -0.06128341, -0.06455871
1756381051.654552, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6865766, -0.06435597, -0.06373629
1756381051.854253, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68035841, -0.0682601, -0.06275591
1756381052.053375, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67008913, -0.05615816, -0.06248016
1756381052.255886, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67474353, -0.06505418, -0.05684023
1756381052.453974, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6725055, -0.05299535, -0.05952761
1756381052.655750, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67113459, -0.04738724, -0.0567643
1756381052.854122, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67280483, -0.04701084, -0.04748899
1756381053.056615, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.6824398, -0.04483312, -0.05408973
1756381053.252356, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68202806, -0.04439858, -0.0547455
1756381053.456125, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68147492, -0.04865733, -0.06394604
1756381053.653929, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67656946, -0.05251771, -0.06189117
1756381053.855744, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.67055106, -0.04600954, -0.05726778
1756381054.052465, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68823886, -0.02711171, -0.05587643
1756381054.255780, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66363132, -0.04029682, -0.05647982
1756381054.452600, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68344831, -0.04434234, -0.05824629
1756381054.658363, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68667758, -0.03155205, -0.06476131
1756381054.852412, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.68248677, -0.0385631, -0.06362457
1756381055.057969, lauv-fridtjof, 61, VEL_X|VEL_Y|VEL_Z, 1.66202664, -0.03866932, -0.05354696
