timestamp (seconds since 01/01/1970), system, entity , type (bitfield), reason (enumerated), value (m/s), timestep (s)
1756381886.615608, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.776653, 0.101869
1756381886.744070, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.776642, 0.148182
1756381887.498289, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620697, 0.100162
1756381887.626835, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620678, 0.149763
1756381887.769280, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620667, 0.149977
1756381887.898938, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620670, 0.100191
1756381888.019862, lauv-fridtjof, 49, GV, INNOV_THRESHOLD_X, 33.315281, 0.149814
1756381888.021626, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620674, 0.149895
1756381888.913406, lauv-fridtjof, 49, WV, ABS_THRESHOLD_X, 32.768047, 0.000000
1756381889.034333, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620785, 0.149954
1756381889.163602, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620789, 0.099990
1756381889.294462, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620777, 0.150037
1756381889.418848, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620773, 0.149923
1756381889.544389, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620766, 0.100014
1756381892.460989, lauv-fridtjof, 49, WV, ABS_THRESHOLD_X, 32.767956, 0.000000
1756381892.595543, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620693, 0.150317
1756381892.714473, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620697, 0.100566
1756381892.841644, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620701, 0.149049
1756381892.969694, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620705, 0.149873
1756381893.096709, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620705, 0.100153
1756381893.223671, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620705, 0.149857
1756381893.351277, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620701, 0.100056
1756381893.475772, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620701, 0.150001
1756381893.604537, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620701, 0.100122
1756381893.728541, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620705, 0.149801
1756381893.856404, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620712, 0.100169
1756381893.984260, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620720, 0.149894
1756381894.111924, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620724, 0.100109
1756381894.235869, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620731, 0.149959
1756381894.365375, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620739, 0.149643
1756381894.491856, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620739, 0.100317
1756381894.618169, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620739, 0.149971
1756381894.742391, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620739, 0.100017
1756381894.873027, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620739, 0.149917
1756381894.999711, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620739, 0.100132
1756381895.130263, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.620739, 0.149883
1756381898.403795, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 32.592865, 0.100098
1756381904.629163, lauv-fridtjof, 49, WV, INNOV_THRESHOLD_X, 33.913410, 0.149865
